path,sha256,purpose,source_category,upstream_present,user_modified_or_added,upstream_counterpart,reference,release_status,rtx5090_compatibility,applicable_license,dataset,audit_condition,split_role,shared_infrastructure,included
code/README.md,4534006aa401a6bdc6e41d0f3cdbad6781a155fa500165a7e4a3c82897dfa7f8,Unchanged official TSLDSeg usage and citation document,Upstream unchanged,yes,no,README.md,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
code/configs/latent-diffusion/acdc-cls4-ldm-kl-8.yaml,c8e950ac2ce387ede198a5a1912eb14c6d9f619e49fea201829fd0c929e155bf,"Formal ACDC model, data, optimizer-schedule, validation, and checkpoint configuration",User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,release-modified,"runtime settings only (cuda:0, benchmark)",Repository MIT; layered upstream notices remain applicable where derived,ACDC,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,train; validation selection; final test,no,yes
code/configs/latent-diffusion/btcv-cls2-ldm-kl-8.yaml,5acf2c42a675f17b403a334ecd446082fc048efe6c90bd3dd5f108652d6f7df9,"Formal BTCV/Synapse model, data, optimizer-schedule, validation, and checkpoint configuration",User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,release-modified,"runtime settings only (cuda:0, benchmark)",Repository MIT; layered upstream notices remain applicable where derived,BTCV/Synapse,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,train; validation selection; final test,no,yes
code/configs/latent-diffusion/isic-ldm-kl-8.yaml,b2863dceb61208ca1e20266c44eb20576f2db8771fc1474efead3baafb00a0c3,"Formal ISIC2018 model, data, optimizer-schedule, validation, and checkpoint configuration",Upstream modified by user,yes,yes; modified before release assembly,configs/latent-diffusion/isic-ldm-kl-8.yaml,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,release-modified,"runtime settings only (cuda:0, benchmark)",TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,ISIC2018,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,train; validation selection; final test,no,yes
code/ldm/audit.py,2b0bd5b1bff95c46c1214b4736f04993bdbd6313596ab2463514df05908cb493,"Validated audit-mode normalization, random Y_t replacement, and no-self-match shuffled Y_t construction",User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,preserved,no,Repository MIT; layered upstream notices remain applicable where derived,BTCV; ACDC; ISIC2018,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,shared model/runtime infrastructure,yes,yes
code/ldm/data/__init__.py,901d530e7137d47e25727b596bb069b0678bd4fa480d906e88a956fc091cd2ac,Python package marker/export surface,Upstream modified by user,yes,yes; modified before release assembly,ldm/data/__init__.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,release-modified,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,train/validation/test data infrastructure,yes,yes
code/ldm/data/acdc.py,73adc9011f0b813a24871b43c2992e6c37ce6733a82b63c27f328f55da43e198,"ACDC train, validation-loss, and evaluation-label dataset adapters",User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,release-modified,no,Repository MIT; layered upstream notices remain applicable where derived,ACDC,shared by all four conditions,train/validation/test data infrastructure,no,yes
code/ldm/data/base.py,356366a3c80bf24c9726b44fd47f84ee06321381f27ce45918b2ba053fe5f2e4,Legacy shared dataset base utilities retained by model lineage,Upstream unchanged,yes,no,ldm/data/base.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,train/validation/test data infrastructure,yes,yes
code/ldm/data/isic.py,faa3e66754d4cf2961567d029bdd77395ea4c922ed0352b45a08a45ec1ea3d1c,"ISIC2018 train, validation-loss, and evaluation-label dataset adapters",Upstream modified by user,yes,yes; modified before release assembly,ldm/data/isic.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,release-modified,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,ISIC2018,shared by all four conditions,train/validation/test data infrastructure,no,yes
code/ldm/data/manifest.py,6482425c9889d307ead1751ad6f454b9179da0541f4acf5f97348ed6b45e6afa,Strict ID-only manifest parsing and image-path filtering,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,shared by all four conditions,train/validation/test data infrastructure,yes,yes
code/ldm/data/synapse.py,3a2433a1c4c8a2b2b75754a270ac0bead7aa18295bcc9fd9770787edbfd2d1f0,"BTCV/Synapse train, validation-loss, and evaluation-label dataset adapters",User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,release-modified,no,Repository MIT; layered upstream notices remain applicable where derived,BTCV/Synapse,shared by all four conditions,train/validation/test data infrastructure,no,yes
code/ldm/lr_scheduler.py,d0413b926f4f8f6ad2c9a9e0cdf29fba80f6504056edede6cefc21db78d2eabb,Warm-up and learning-rate schedule implementations,Upstream unchanged,yes,no,ldm/lr_scheduler.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/models/autoencoder.py,48f17e58d5bdcdf53ca8c3b759eb45376a049dfbcd7094ce28f6c88e5cbec926,First-stage segmentation VAE and checkpoint loading,Upstream modified for PyTorch/CUDA-environment compatibility,yes,yes; modified before release assembly,ldm/models/autoencoder.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,release-modified,yes; PyTorch 2.11 checkpoint-loading compatibility,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/models/diffusion/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Python package marker/export surface,Upstream unchanged,yes,no,ldm/models/diffusion/__init__.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/models/diffusion/classifier.py,bb56d9a084eec27de2a5aff904fdbee01b5d66f29bce8d4f99be419ad6509235,Retained diffusion-classifier support with trusted checkpoint loading,Upstream modified for PyTorch/CUDA-environment compatibility,yes,yes; modified before release assembly,ldm/models/diffusion/classifier.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,preserved,yes; PyTorch 2.11 checkpoint-loading compatibility,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/models/diffusion/ddim.py,cb6cf061bb17a3c5570fb8058e6f78017e03b64091e98fad55217c331dcc1ddd,DDIM reverse-diffusion sampler,Upstream unchanged,yes,no,ldm/models/diffusion/ddim.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/models/diffusion/ddpm.py,671d3f69c07f0be2824fc007f71eb37517d4e4d3ee492d2bd3fa051678a9bae1,"TSLDSeg objective, all audit branches, EMA validation, DDIM/direct inference, and metrics",Upstream modified for audit,yes,yes; modified before release assembly,ldm/models/diffusion/ddpm.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,release-modified,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,BTCV; ACDC; ISIC2018,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,train; validation selection; final test,yes,yes
code/ldm/models/diffusion/dpm_solver/__init__.py,33e39ae0193029a8d571324e44613ec2fdab6552397615e8e4deb6a334183a9b,Python package marker/export surface,Upstream unchanged,yes,no,ldm/models/diffusion/dpm_solver/__init__.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/models/diffusion/dpm_solver/dpm_solver.py,f7990925857afc455f41f2e78235918b64cf8af28839f7777a8d696c879b6c5b,Retained DPM-Solver numerical implementation,Upstream unchanged,yes,no,ldm/models/diffusion/dpm_solver/dpm_solver.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/models/diffusion/dpm_solver/sampler.py,06f89db0ec5034da6390c2c4f94c5f665907899ff55cfedc1b9d8ec62e980559,Retained DPM-Solver adapter,Upstream unchanged,yes,no,ldm/models/diffusion/dpm_solver/sampler.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/models/diffusion/plms.py,d6564b11ea35c8190e60e38115d7bfab41a74bbe7e9b521b567fe0b1fc82c774,Retained PLMS sampler implementation,Upstream unchanged,yes,no,ldm/models/diffusion/plms.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/attention.py,df12e14bc16f880ae1e323ff92b94972d63d36abbe9998bf2543787a2fe3495e,Attention and transformer blocks,Upstream unchanged,yes,no,ldm/modules/attention.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/diffusionmodules/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Python package marker/export surface,Upstream unchanged,yes,no,ldm/modules/diffusionmodules/__init__.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/diffusionmodules/model.py,f28b2d6aa7caefd0d23c9dbcfaf98217c935971ae1f166d47407859a58058aaa,Autoencoder encoder/decoder blocks and conditioning checkpoint loading,Upstream modified for PyTorch/CUDA-environment compatibility,yes,yes; modified before release assembly,ldm/modules/diffusionmodules/model.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,preserved,yes; PyTorch 2.11 checkpoint-loading compatibility,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/diffusionmodules/openaimodel.py,a6bc925d30d7df9926b19b82d86b33e66ba6bfeb87abd0e7abd85c145ebdab2b,"Diffusion UNet, timestep embedding, and residual/attention blocks",Upstream unchanged,yes,no,ldm/modules/diffusionmodules/openaimodel.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/diffusionmodules/util.py,4c0846ea5a0683078c28ec9e3d375d33dd9b2a23aa1a4f8a5169880ea3133fb2,"Beta schedules, timestep extraction, checkpointing, and tensor helpers",Upstream unchanged,yes,no,ldm/modules/diffusionmodules/util.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/distributions/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Python package marker/export surface,Upstream unchanged,yes,no,ldm/modules/distributions/__init__.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/distributions/distributions.py,850414376576a38b528f01ea1eb2d9ca69d20b3ecbe8f290d5cc6e787c2c0e2e,Diagonal Gaussian latent distribution,Upstream unchanged,yes,no,ldm/modules/distributions/distributions.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/ema.py,39f9d743b96a21089b7a2864ba13bf6a800c5f66ac7e14c293aaeded163ab7e3,Exponential moving average parameter tracking,Upstream unchanged,yes,no,ldm/modules/ema.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/encoders/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Python package marker/export surface,Upstream unchanged,yes,no,ldm/modules/encoders/__init__.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/encoders/mcf.py,d144fa336657a7fc7026c831d7ffb88fdfe6546c79366f55c22c8310b63ecaa4,MCF feature-fusion module,Upstream unchanged,yes,no,ldm/modules/encoders/mcf.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/encoders/modules.py,ded9784a1365009fe2ddcd13f8df29ad7e99e4a17bdb34475105b0c90a24b3de,"Image-conditioning encoder wiring for TAM, HSEM, and MCF",Upstream modified for CUDA-only release contract,yes,no; release-only modification,ldm/modules/encoders/modules.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a,release-modified,yes; strict CUDA/RTX 5090 runtime contract,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/encoders/trial.py,149adcf02b238fe4d1cd7e6d50aa9e0adbbdb2006bcd52e7f0ac3d193e6401b0,TAM and HSEM auxiliary modules,Upstream unchanged,yes,no,ldm/modules/encoders/trial.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/image_degradation/__init__.py,b367d9b30d55ff362cf99678e7d2ee416d62296c792283223fa089cf75691c7e,Python package marker/export surface,Upstream unchanged,yes,no,ldm/modules/image_degradation/__init__.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/image_degradation/bsrgan.py,6a8e9e2f1119868d9e588199830eef25ab1c91d5866839697cac9b85829ae718,Retained BSRGAN degradation utilities from model lineage,Upstream unchanged,yes,no,ldm/modules/image_degradation/bsrgan.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/image_degradation/bsrgan_light.py,580220933492bf42514458daef69340ed20871469cf7777f4c46493c608a5d87,Retained lightweight BSRGAN degradation utilities,Upstream unchanged,yes,no,ldm/modules/image_degradation/bsrgan_light.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
